,file,time(s)
small grid,grid-6-7,0.018286705017089844
medium grid,grid-25-40,1.2130300998687744
large grid,grid-100-180,0.014972209930419922
small random,rand-5-7,0.020016908645629883
medium random,rand-25-50,1.5969841480255127
large random,rand-80-350,0.014998197555541992
small tree,tree-5-4,0.018962383270263672
medium tree,tree-25-24,0.3099982738494873
large tree,tree-100-99,0.013000726699829102
