,file,time(s)
small grid,grid-6-7,0.0065190792083740234
medium grid,grid-25-40,4.730005979537964
large grid,grid-100-180,-1
small random,rand-5-7,0.002479076385498047
medium random,rand-25-50,0.35170626640319824
large random,rand-80-350,-1
small tree,tree-5-4,0.002323150634765625
medium tree,tree-25-24,31.335386037826538
large tree,tree-100-99,-1
