,file,time(s)
small grid,grid-6-7,0.017027616500854492
medium grid,grid-25-40,1.1169984340667725
large grid,grid-100-180,0.013999700546264648
small random,rand-5-7,0.01602339744567871
medium random,rand-25-50,1.4329981803894043
large random,rand-80-350,0.013003349304199219
small tree,tree-5-4,0.01799750328063965
medium tree,tree-25-24,0.2630009651184082
large tree,tree-100-99,0.012999773025512695
