,file,time(s)
small grid,grid-6-7,0.020014286041259766
medium grid,grid-25-40,1.1529991626739502
large grid,grid-100-180,-1
small random,rand-5-7,0.022001266479492188
medium random,rand-25-50,1.8309996128082275
large random,rand-80-350,-1
small tree,tree-5-4,0.02600407600402832
medium tree,tree-25-24,0.33700060844421387
large tree,tree-100-99,-1
