,file,time(s)
small grid,grid-6-7,0.018053293228149414
medium grid,grid-25-40,1.180999517440796
large grid,grid-100-180,0.012005090713500977
small random,rand-5-7,0.015999317169189453
medium random,rand-25-50,1.4550065994262695
large random,rand-80-350,0.01300811767578125
small tree,tree-5-4,0.017000675201416016
medium tree,tree-25-24,0.2669947147369385
large tree,tree-100-99,0.011999368667602539
