,file,time(s)
small grid,grid-6-7,0.014001131057739258
medium grid,grid-25-40,1.087998628616333
large grid,grid-100-180,-1
small random,rand-5-7,0.017984867095947266
medium random,rand-25-50,0.05302262306213379
large random,rand-80-350,-1
small tree,tree-5-4,0.017978191375732422
medium tree,tree-25-24,3.240997552871704
large tree,tree-100-99,-1
